Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Freight,Net Case,Net/Unit
Yes,Artet LLC,Artet LLC,AP-H5-1,860012808380,Artet Single Serve Aperitif 5mg THC,5,THC,Beverages,,2oz bottle,48,,,96,96,,,,0,96,2
,Happy Duck LLC,Happy Duck LLC,850056651165,850056651165,Happy Duck Bomba 5mg THC 10 Pack,5,THC,Edibles,,,10,,120,,51,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651141,850056651141,Happy Duck Bomba 10mg 2oz Shot ,10,THC,Shots,,2oz,12,,60,,40,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651172,850056651172,Happy Duck Tangerine 5mg THC 10 Pack,5,THC,Edibles,,,10,,120,,51,,,,,,
,Happy Duck LLC,Happy Duck LLC,850056651158,850056651158,Happy Duck Tangerine 10mg 2oz Shot,10,THC,Shots,,2oz,12,,60,,51,,,,,,
,Insight Brewing Company (D),Insight Brewing Company (D),10MX212,850077712050,Insight Flavor Pixels 10mg THC Variety #2 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,57.6,49.56,49.56,0,1,0,0,,
,Insight Brewing Company (D),Insight Brewing Company (D),PEAMG12,850077712074,Insight Flavor Pixels PEACH MANGO PLUS 10MG THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,58.94,50.9,50.9,0,1,0,0,,
,Insight Brewing Company (D),Insight Brewing Company (D),RASPB12,850077712005,Insight Flavor Pixels RASPERRY PEAR 10mg THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Quarterly buy,58.94,50.9,50.9,0,1,0,0,,
,Modist Brewing Company,Modist Brewing Company,MLCA6412,810095561795,Modist Melt Cran Apple THC 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,3 case deal,78.45,20 case Pulse Deal $64.60 ,64.6,,3,,,,
Y,Modist Brewing Company,Modist Brewing Company,MHB21212,810095561764,Modist Melt Hot Box THC 10mg Variety 2/12pk/12oz can,10,THC,Beverages,,12pk 12oz can,2,Pallet,61.4,10 case Deal $54.25,48,,100,,,,
Y,Modist Brewing Company,Modist Brewing Company,MLTGL4612,810095561665,Modist Melt Ginger Lemon Lime THC 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,3 case deal,78.45,20 case Pulse Deal $64.60 ,64.6,,3,,,,
,Nibbana LLC,Nibbana LLC,,860010283370,Nibbana Lavender Lullaby (Sleep) Gummies,50,THC + CBN,Gummies,,10pk Bag,25,,,,175,,1,,,,
,Nibbana LLC,Nibbana LLC,,850027710884,Nibbana Sour Watermelon Gummies,50,THC,Gummies,,10pk Bag,25,,,,125,,1,,,,
,NOR North Brands LLC,NOR North Brands LLC,PL-Shot,860011622079,Uplift THC Shot - Pink Lemonade 10MG THC/10MG CBG,10,THC,Beverages,,2oz bottle,12,,,,29,,,,,,
,NOR North Brands LLC,NOR North Brands LLC,BP-Shot,860011622086,Relax THC Shot - Blueberry Pomegranate 10MG THC/10MG CBN,10,THC,Beverages,,2oz bottle,12,,,,29,,,,,,
,NOR North Brands LLC,NOR North Brands LLC,CL-Shot,860011622062,Anytime THC Shot - Citrus Lime 10MG THC/10MG CBD,10,THC,Beverages,,2oz bottle,12,,,,29,,,,,,
Yes,Wild State Cider,Wild State Cider,,850018947961,Birdie Passion Fruit Guava 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,65.97,,,,,,
Yes,Wild State Cider,Wild State Cider,,850018947718,Birdie Pineapple Mango 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,65.97,,,,,,
Yes,Wild State Cider,Wild State Cider,,850018947886,Birdie Spiced Apple 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,54,,,,,,
Yes,Wild State Cider,Wild State Cider,,850079194021,Odder Berry Pineapple 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,44.16,,,,,,
Yes,Wild State Cider,Wild State Cider,,850018947985,Odder Lemon Lime Cherry 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,44.16,,,,,,
Yes,Wild State Cider,Wild State Cider,,850079194007,Odder Mango Guava 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,44.16,,,,,,
Yes,Wild State Cider,Wild State Cider,,850079194045,Odder THC Variety 9pk 12oz can,10,THC,Beverages,,4pk 12oz can,2,,,,29.46,,,,,,
Yes,Global Reserve LLC,Amigos,,850070493017,Amigos Cherry Limeade,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
Yes,Global Reserve LLC,Amigos,,850070493000,Amigos Key Lime Margarita,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
Yes,Global Reserve LLC,Amigos,,860011842798,Amigos Watermelon Mojito,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
,Global Reserve LLC,Aura,,198715698350,Aura - Blackberry Lavender Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Aura,,198715823509,Aura - Lemon Basil Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Aura,,198715018134,Aura - Peach Ginger Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Bootlegger,,198715969283,Bootlegger - Coconut Rum Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Bootlegger,,198715897647,Bootlegger - Mai Tai Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Bootlegger,,198715534696,Bootlegger - Mojito Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
Yes,Global Reserve LLC,Herbal Oasis,,840287705843,Herbal Oasis Berry Fusion,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
Yes,Global Reserve LLC,Herbal Oasis,,840287705713,Herbal Oasis Mango Bliss,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
Yes,Global Reserve LLC,Herbal Oasis,,840287705867,Herbal Oasis Tropic Wave,10,THC,Beverages,,4pk 12oz Cans,6,,72,72,57.6,,,,,,
Yes,Global Reserve LLC,Hop The Wave,,850051997299,Hop the Wave - Iced Tea & Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,68,68,57.6,,,,,,
Yes,Global Reserve LLC,Hop The Wave,,850051997299,Hop the Wave - Iced Tea 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,68,68,57.6,,,,,,
Yes,Global Reserve LLC,Hop The Wave,,850051997152,Hop the Wave - Peach Iced Tea 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,68,68,57.6,,,,,,
Yes,Global Reserve LLC,Hop The Wave,,850051997312,Hop the Wave - Raspberry Iced Tea 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,68,68,57.6,,,,,,
,Global Reserve LLC,Looner,10-250,199284714281,Looner - 1/2 and 1/2 Lemonade Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Looner,10-242,199284440517,Looner - Classic Lemonade Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Looner,,198168411445,Looner - Horizon gummies - Mixed,5,THC,Edibles,,10ct bag,10,,80,70,50,,,,,,
,Global Reserve LLC,Looner,,197644425921,Looner - Lunar gummies - Blueberry Lavender 10 CBN,5,THC,Edibles,,10ct bag,10,,80,70,50,,,,,,
,Global Reserve LLC,Looner,,197644788644,Looner - Nooner gummies - Watermelon 10 CBG,5,THC,Edibles,,10ct bag,10,,80,70,50,,,,,,
,Global Reserve LLC,Looner,10-257,199284977952,Looner - Peach Lemonade Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Looner,10-260,199284514461,Looner - Pink Lemonade Shot - 10mg 2oz shot,10,THC,Beverages,,2 / 12 / 2oz shot,24,,66,48,42,,,,,,
,Global Reserve LLC,Looner,,198168425602,Looner - Twilight gummies - Blackberry 25 CBN,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
,Global Reserve LLC,Looner,,198715202335,Looner - Twilight gummies - Mango 25 CBN,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
,Global Reserve LLC,Looner,,198715111019,Looner - Twilight gummies - Strawberry 25 CBN,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
,Global Reserve LLC,Looner,,198715084917,Looner - Zenith gummies - Blackberry 25 CBG,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
,Global Reserve LLC,Looner,,198715643879,Looner - Zenith gummies - Mango 25 CBG,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
,Global Reserve LLC,Looner,,198715853483,Looner - Zenith gummies - Strawberry 25 CBG,5,THC,Edibles,,10ct bag,10,,90,80,50,,,,,,
Yes,Global Reserve LLC,Midwest Famous,,198168803523,Midwest Famous - Ranch Water - 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,80,80,67.2,,,,,,
Yes,Global Reserve LLC,Midwest Famous,,198715298512,Midwest Famous - Spritz - 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,80,80,67.2,,,,,,
Yes,Global Reserve LLC,Sensi,,850052037161,Sensi - Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,76,76,60.8,,,,,,
Yes,Global Reserve LLC,Sensi,,850052037208,Sensi - Strawberry Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,76,76,60.8,,,,,,
,Global Reserve LLC,Sun Dogs,200-500,850018407359,Sun Dogs - Purple Lemonade 10,10,THC,Beverages,,4pk 12oz can,6,,64,64,51.2,,,,,,
,Global Reserve LLC,Sun Dogs,200-490,850018407298,Sun Dogs - Purple Lemonade 5,10,THC,Beverages,,4pk 12oz can,6,,52,52,41.6,,,,,,
,Global Reserve LLC,Sun Dogs,200-501,850018407366,Sun Dogs - Strawberry Limonada 10,10,THC,Beverages,,4pk 12oz can,6,,64,64,51.2,,,,,,
,Global Reserve LLC,Sun Dogs,200-491,850018407328,Sun Dogs - Strawberry Limonada 5,10,THC,Beverages,,4pk 12oz can,6,,52,52,41.6,,,,,,
,Global Reserve LLC,Sun Dogs,200-502,850018407342,Sun Dogs - Sweet Tea 10,10,THC,Beverages,,4pk 12oz can,6,,64,64,51.2,,,,,,
,Global Reserve LLC,Sun Dogs,200-492,850018407335,Sun Dogs - Sweet Tea 5,10,THC,Beverages,,4pk 12oz can,6,,52,52,41.6,,,,,,
Yes,Artisan Beer Company,Stigma,1350122,850011431092,Stigma Energy Tonic 10mg THC,10,,,,12oz,6,"Buy 104, get 7 NC",60,55.7,64.25,104,7,0,,,
Yes,Artisan Beer Company,Stigma,1968446,850011431108,Stigma Relax Tonic 10mg THC,10,,,,12oz,6,"Buy 104, get 7 NC",60,55.7,64.25,104,7,0,,,
Yes,Artisan Beer Company,Stigma,1654314,850011431085,Stigma Sleep Tonic 10mg THC,10,,,,12oz,6,"Buy 104, get 7 NC",60,55.7,64.25,104,7,0,,,
,"Capitol Beverage Sales, L.P.",Chill State,31075,8-50070-26609-3,CHILL 10MG BLUE DREAM 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,15+ All Suppliers $6.00 off,75,69,69,,,,,,
,"Capitol Beverage Sales, L.P.",Chill State,31077,8-50070-26624-6, CHILL 10MG SUPER LEMON HAZE 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,15+ All Suppliers $6.00 off,75,69,69,,,,,,
,"Capitol Beverage Sales, L.P.",Chill State,31079,8-50070-26625-3,CHILL 10MG BLACKBERRY 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,15+ All Suppliers $6.00 off,75,69,69,,,,,,
,"Capitol Beverage Sales, L.P.",Chill State,31081,8-50070-26623-9, CHILL 5MG PINEAPPLE EXPRS 6/4 CAN,5,THC,Beverages,,4pk 12oz can,6,15+ All Suppliers $6.00 off,64,58,64,,,,,,
,"Capitol Beverage Sales, L.P.",Chill State,31083,8-50070-26622-2,CHILL 5MG GRPFRT KUSH 6/4 CAN,5,THC,Beverages,,4pk 12oz can,6,15+ All Suppliers $6.00 off,64,58,64,,,,,,
,"Capitol Beverage Sales, L.P.",Collective Project,31805,6-28719-77812-8,10MG FETCH LEMON LIME 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,,76,70,52,,1,,,,
,"Capitol Beverage Sales, L.P.",Collective Project,31807,6-28719-77816-6,10MG FETCH CREAM SODA 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,,76,70,52,,1,,,,
,"Capitol Beverage Sales, L.P.",Collective Project,31809,6-28719-77814-2,10MG FETCH ZERO COLA 6/4 CAN,10,THC,Beverages,,4pk 12oz can,6,,76,70,52,,1,,,,
,"Capitol Beverage Sales, L.P.",Collective Project,31831,6-28719-77822-7,10MG FETCH VARIETY PK 4/6 CAN,10,THC,Beverages,,4pk 12oz can,4,,62,62,49.6,,1,,,,
,"Capitol Beverage Sales, L.P.",Collective Project,31833,6-28719-77800-5,10MG CP VARITEY PK 4/6 CAN,10,THC,Beverages,,4pk 12oz can,4,,76,70,60.8,,1,,,,
,"Capitol Beverage Sales, L.P.",Plift,19717,8-60013-59174-8,10MG PLIFT MINI TANG 4/12-2 PL,10,THC,Beverages,Shot,2oz,48,,87,87,79,,1,,,,
,"Capitol Beverage Sales, L.P.",Plift,19719,8-60013-59172-4, 10MG PLIFT MINI FRT PNCH 4/12-2 PL,10,THC,Beverages,Shot,2oz,48,,87,87,79,,1,,,,
,"Capitol Beverage Sales, L.P.",Plift,19721,8-50075-15724-2,10MG PLIFT ZERO VARIETY PK 2/12 CAN,10,THC,Beverages,,12pk 12oz can,2,,53,53,53,,1,,,,
,"Capitol Beverage Sales, L.P.",Clrty,20521,8-50048-45932-8, CLRTY CRAN LIME 10MG 6/4-12 CAN,10,THC,Beverages,,4pk 12oz can,6,,80,75,70.15,,1,,,,
,"Capitol Beverage Sales, L.P.",Clrty,20523,8-50048-45947-2,SODAPOT CITRUS GLOW 10MG 6/4-12 CAN,10,THC,Beverages,,4pk 12oz can,6,,73,70,62.35,,1,,,,
,"Capitol Beverage Sales, L.P.",Uncle Arnie's,30525,8-50039-73692-6,10MG ARNIES TAHITIAN TREAT 2/12-2OZ PL,10,THC,Beverages,Shot,2oz,24,,,52,40,,1,,,,
,"Capitol Beverage Sales, L.P.",Uncle Arnie's,30527,8-50039-73691-9,10MG ARNIES LEMON MINT 2/12-2OZ PL,10,THC,Beverages,Shot,2oz,24,,,52,40,,1,,,,
,Global Reserve LLC,Climbing Kites,,850047906083,Climbing Kites - Mixed Berry 10mg THC + 10mg CBD,10,THC,Beverages,,,,,80,80,64,,,,,,
,Global Reserve LLC,Climbing Kites,,850047906458,Climbing Kites - Peach Prickly Pear 10mg THC + 10mg CBD,10,THC,Beverages,,,,,80,80,64,,,,,,
,Global Reserve LLC,Climbing Kites,,850047906267,Climbing Kites - Transfusion 10mg THC + 10mg CBD,10,THC,Beverages,,,,,80,80,64,,,,,,
,Global Reserve LLC,Climbing Kites,,850047906175,Climbing Kites - Iced Tea Lemonade 10mg THC + 10mg CBD,10,THC,Beverages,,,,,80,80,64,,,,,,
,Global Reserve LLC,Climbing Kites,,850047906380,Climbing Kites - Variety 6 pack 10mg THC + 10mg CBD,10,THC,Beverages,,,,,72,72,57.6,,,,,,
,"North Star Hemp, LLC",You Betcha,,051497493516,You Betcha Hibiscus Mint Tea 5mg NighttimeTHC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,Hibiscus Mint ,,65,50,,,,,,
,Minny Grown,Minny Grown,,850063284103,Caramel Apple Alien Abduction - 5mg THC/ 5mg CBD/ 5mg CBN,5,THC,Edibles,5,,12,$200 order qty per store,,,96,,,,,,
,Minny Grown,Minny Grown,,860010316405,So Superior Clementine - 5mg THC/ 5mg CBD,5,THC,Edibles,,,12,$200 order qty per store,,,96,,,,,,
,Minny Grown,Minny Grown,,860010316412,BlueBeary Yummy Gummy Bar - 50mg THC,50,THC,Edibles,,,12,$200 order qty per store,,,72,,,,,,
,Minny Grown,Minny Grown,,860010316429,Berry Bliss Yummy Gummy Bar - 50mg THC,50,THC,Edibles,,,12,$200 order qty per store,,,72,,,,,,
,Minny Grown,Minny Grown,,860010316436,Watermelon Yummy Gummy Bar - 50mg THC,50,THC,Edibles,,,12,$200 order qty per store,,,72,,,,,,
,Minny Grown,Minny Grown,,860010316443,Peach Yummy Gummy Bar - 50mg THC,50,THC,Edibles,,,12,$200 order qty per store,,,72,,,,,,
,Minny Grown,Minny Grown,,850063284622,CBN Moon Melon - 25mg CBN,0,THC,Edibles,,,12,$200 order qty per store,,,96,,,,,,
,Minny Grown,Minny Grown,,850063284639,CBN Snooze Beary - 25mg CBN,0,THC,Edibles,,,12,$200 order qty per store,,,96,,,,,,
